id,college_id,accreditation_body,accreditation_name,grade,valid_from,valid_until,credential_url,source_reference,created_at
34d7b4c9-d344-42a8-8763-140145e66abb,02cc9c45-3d67-43b1-9110-6f9a46efa159,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
97c0d8ed-3bbe-4469-a0a0-1eff75e47e6d,36006e9c-4876-4a80-ab00-6ea819950ad2,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
196f727d-80e7-48aa-bc9a-9fd3e49dc570,ef459e36-d135-4923-b998-5b3ad1a263d6,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
e609546a-ef07-478a-831a-cf9b326849bf,c5cd83bb-f4fa-45d2-a747-fd668eba4f2a,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
b77a6c0b-0b0f-45e7-a1d7-c7a36df82d37,1a858d31-bf75-47f0-b82d-d68644028342,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
fbfbf166-c4c6-4d87-9cf5-e01b8fb9d3f8,c9d119b1-cdb0-4843-8e28-bfc62359cd16,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
11539ed1-34ec-4d4b-826f-cf0cc523eeed,9a0d5b53-98fa-4564-91c6-3ee28ff7107c,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
502273d9-7074-4fae-8393-4d4f1af1db75,9a616bbb-d52e-4cf8-86d4-60427a8d157b,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
4f1d131a-87df-408e-a8c0-f21e6e11b1b2,705f90dd-f64c-4caa-98b6-ae9d4e6006ab,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
9bf4fe44-f9c3-41a4-a0a8-30370319791c,de96081f-33fd-4106-94fb-c48a2a7badd5,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
54e5fc81-a4b8-4aa9-8908-a88b9243d8a2,5ebc35a3-dfdb-4397-aaec-21f158766c26,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
44bad8eb-8d0a-4292-9767-921bdde73a29,0078794d-e6d0-41e3-92b0-02a79301c1ca,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
f7972345-c135-472d-9293-b6abd9503f49,5a3843ab-641d-46a8-b17c-e9d36fbd09ce,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
1b0330dd-9980-467b-99ec-4428dab2d30d,1480a34c-fa0c-4d3a-b613-88593d28c59c,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
7903e35c-29c6-4d51-96bf-7dd68e6ec4ba,139c4551-811e-499c-8427-d4a907d8229d,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
7e83f631-e83f-44ec-bd41-d540d2b59643,5ec477e0-292f-4d6a-8a63-d43884405cc7,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
783137ee-7628-415a-bd95-15b8c218a2c1,80624fa7-c67c-4a70-96f6-5d3aad9aece7,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
8a32a0f5-621b-43eb-b69f-fbfd63a3f6a1,ace8a915-cc8d-4322-8ea7-8eccee962ea5,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
6dd7e97c-ce20-43bc-a187-6172c2f6742d,229fe647-6bbb-446e-ac23-ba7d3f7d407e,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
312f310a-d052-4b8b-8282-77960741a9a2,1e8287ec-6d39-407f-8ca2-2ed116dbfb97,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
b753a55b-2295-4fd6-914f-cf250c6ae86b,9b36b16e-4fb4-4c05-90ed-3405d2bae544,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
4b71de50-ddf9-4b0b-9215-79f00c525431,28a465bd-c1a1-45ab-b75f-f25215fedab6,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
bc832c3b-daa5-4f8b-8526-0584c6ab8458,afbb1114-db67-4214-9c62-cd40a155ed1d,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
aabe8bba-ae08-4d09-8bc7-39246737de45,76f9167b-fd41-450f-8330-c5dae3e2ce23,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
d6450543-828c-4811-97ac-2b1859fbcbc2,0edea13d-e346-4039-9620-e15689b1b1b2,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
b8af1adc-65db-4e17-9988-202a286f469e,b47176ff-389d-4fd8-9eea-791dcae4832d,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
1872713e-7da1-45fa-ae6c-97886e17a91c,b533728a-f2ee-405b-afea-b59fb0632452,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
57c4c56b-a171-46dc-8603-2b9b7e078454,4dd654a4-fb53-4168-ba53-e5cf4398ebfd,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
bf210909-8b75-415d-888a-c587e146a0d0,d8ef509c-5600-4475-96e9-f640748ec3f5,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
eaafd1e0-cebb-4239-8c80-65290ab5146f,5931cbc9-d87d-4244-a3aa-9c2d41ca6a69,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
718d5318-8297-4566-a6e1-603afcb45dbc,f91735d5-3c98-4934-b1d7-48a9149b08b6,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
c8294fd1-0a20-4000-a221-8691471abeba,253c02e3-4615-4b13-8ba0-0a26e2374438,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
3b74814d-ef16-49c3-bee4-557cc79bedcf,2c0e7f42-aaaf-4315-9586-7b56b51fa19d,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
3eed9921-6562-45fd-890a-4c7e5ae085ce,6b842aa5-dee2-49a5-a276-831c3f1a01f2,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
64aab421-e654-4c27-ac56-c707fc41d4a1,45ecaffe-790e-416d-a5c9-560ff5a94afa,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
17c56047-2c87-48ed-bb28-7eb2f8ebc3dc,039ecace-0111-442d-9308-e7b5970b9080,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
490db22d-3a6a-4c32-b7fe-b498881c360d,de516236-5418-4d1d-9975-28bde72a6551,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
6783b50f-5c67-4d65-b74c-ed4116f93286,9e7f2eaa-edd5-442f-978f-1d254e126274,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
50660a39-f515-4d7d-a82a-ef7b33059d2e,ef6f9006-6df5-4020-8271-85854ce1cf2e,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
d5db1032-a60a-4423-b190-fe19d340c879,fde9b37b-25bb-4098-9a48-9e3d52793bb0,Verification Pending,Institutional accreditation placeholder,,,,,generated-reference-catalog,2026-06-14 05:26:28.246259+00
