id,college_id,scholarship_code,name,eligibility,award_type,award_value,currency_code,application_url,deadline,is_active,source_reference,created_at,updated_at
e568b50a-12f6-41a5-b60c-f1bdfc648697,02cc9c45-3d67-43b1-9110-6f9a46efa159,merit-reference,Merit and Access Scholarship,Indicative merit and household-income criteria; verify with the institution before applying.,percentage,17.00,INR,,,t,generated-reference-catalog,2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00
d8239043-ffb3-46cd-83d2-e3f9e73bad75,36006e9c-4876-4a80-ab00-6ea819950ad2,merit-reference,Merit and Access Scholarship,Indicative merit and household-income criteria; verify with the institution before applying.,percentage,46.00,INR,,,t,generated-reference-catalog,2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00
a9255530-b18f-4a91-805b-98074da9a488,ef459e36-d135-4923-b998-5b3ad1a263d6,merit-reference,Merit and Access Scholarship,Indicative merit and household-income criteria; verify with the institution before applying.,percentage,46.00,INR,,,t,generated-reference-catalog,2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00
94f69ae7-1ec8-455e-876d-48ce929ef4fc,c5cd83bb-f4fa-45d2-a747-fd668eba4f2a,merit-reference,Merit and Access Scholarship,Indicative merit and household-income criteria; verify with the institution before applying.,percentage,16.00,INR,,,t,generated-reference-catalog,2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00
5741786a-a6d3-4eff-9fdf-374c96aa3b3f,1a858d31-bf75-47f0-b82d-d68644028342,merit-reference,Merit and Access Scholarship,Indicative merit and household-income criteria; verify with the institution before applying.,percentage,27.00,INR,,,t,generated-reference-catalog,2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00
83e77d58-eda6-4bc2-98e6-721818c738b6,c9d119b1-cdb0-4843-8e28-bfc62359cd16,merit-reference,Merit and Access Scholarship,Indicative merit and household-income criteria; verify with the institution before applying.,percentage,30.00,INR,,,t,generated-reference-catalog,2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00
140745b4-d30a-4928-b59e-8818b16cf080,9a0d5b53-98fa-4564-91c6-3ee28ff7107c,merit-reference,Merit and Access Scholarship,Indicative merit and household-income criteria; verify with the institution before applying.,percentage,22.00,INR,,,t,generated-reference-catalog,2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00
ffc2b1b8-a321-425b-8502-618ad7bc22b7,9a616bbb-d52e-4cf8-86d4-60427a8d157b,merit-reference,Merit and Access Scholarship,Indicative merit and household-income criteria; verify with the institution before applying.,percentage,40.00,INR,,,t,generated-reference-catalog,2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00
44558c9c-2b05-49f0-b0e3-cfde3150eedc,705f90dd-f64c-4caa-98b6-ae9d4e6006ab,merit-reference,Merit and Access Scholarship,Indicative merit and household-income criteria; verify with the institution before applying.,percentage,35.00,INR,,,t,generated-reference-catalog,2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00
bd12906e-da3d-4953-a49e-75a52a3c10ff,de96081f-33fd-4106-94fb-c48a2a7badd5,merit-reference,Merit and Access Scholarship,Indicative merit and household-income criteria; verify with the institution before applying.,percentage,23.00,INR,,,t,generated-reference-catalog,2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00
