id,career_id,title,provider,resource_type,url,language_code,is_free,display_order
02a13574-45da-4c53-a4c7-73acb80898b0,000a0175-21eb-4eca-9a69-d12df693f25b,Explore occupational tasks and skills,O*NET OnLine,documentation,https://www.onetonline.org/,en,t,1
47e30d89-e68b-451b-88d1-823051cf1b41,003bd784-97d8-4030-98ae-ab288a30fde8,Explore occupational tasks and skills,O*NET OnLine,documentation,https://www.onetonline.org/,en,t,1
5a65da62-36d5-4c6a-8157-ed924aa7584b,0096f00f-adee-44ee-9952-20e96dfbb791,Explore occupational tasks and skills,O*NET OnLine,documentation,https://www.onetonline.org/,en,t,1
0424561d-2791-4649-9024-8e1fce3922dd,0158e92d-f233-478c-a742-4b2b504ab6a0,Explore occupational tasks and skills,O*NET OnLine,documentation,https://www.onetonline.org/,en,t,1
2e623431-ee7c-41b0-a6ef-50b7b5f86391,02609f40-38f4-49c6-b503-ac6c9dda53c1,Explore occupational tasks and skills,O*NET OnLine,documentation,https://www.onetonline.org/,en,t,1
078dd6b2-0405-46ff-90d1-a3d8fc5cb059,026af1c5-d0ff-4e39-a808-300f6cabd86a,Explore occupational tasks and skills,O*NET OnLine,documentation,https://www.onetonline.org/,en,t,1
2e94b1d4-9d0a-4572-82aa-1e8d77757ef5,02dc58fe-7a8d-4191-99f4-bdf69ff23c89,Explore occupational tasks and skills,O*NET OnLine,documentation,https://www.onetonline.org/,en,t,1
ee2e02f6-ca0e-4311-aa87-280b3a967f75,03022e59-d3a1-42f6-8be5-447e5ac4b063,Explore occupational tasks and skills,O*NET OnLine,documentation,https://www.onetonline.org/,en,t,1
0ccb9cac-5288-486a-be17-764bfd2f74ce,0325c226-1c13-475d-8452-262dcb59bce1,Explore occupational tasks and skills,O*NET OnLine,documentation,https://www.onetonline.org/,en,t,1
514d4877-4ea0-4e39-a0b3-be1f7d65d715,03580e59-d83e-4bc8-8e2c-fdedb60fb73b,Explore occupational tasks and skills,O*NET OnLine,documentation,https://www.onetonline.org/,en,t,1
c303faec-c542-4ebf-b374-4576db937ad6,03e18b61-34d0-442b-9414-40d13f324a8b,Explore occupational tasks and skills,O*NET OnLine,documentation,https://www.onetonline.org/,en,t,1
ff44c131-3ef3-4346-9d5b-db13892a32cb,03ea1778-5ea3-4b4f-9b94-6855a384b906,Explore occupational tasks and skills,O*NET OnLine,documentation,https://www.onetonline.org/,en,t,1
