career_id,term_id,relevance,requirement_level,notes,display_order
fd3e273c-4cf1-4b20-9122-2df8484865da,8010a3a6-4965-4842-9401-0d6b86772e4e,5,,,1
1941ffd3-962a-4a65-a68b-9ce983610e7f,619f1260-389b-4b3e-8f7f-24521b2c6e85,5,,,1
0b984268-b7f8-40a1-aed6-f4ade5897cd1,619f1260-389b-4b3e-8f7f-24521b2c6e85,5,,,1
c036bbc5-03a4-45e0-985e-eed3fde14342,17927e9e-0e60-4170-b388-3501ad278111,5,,,1
b3662f0a-eb24-4380-b4c2-f45812015914,674d1770-52ae-410d-9e28-a829aa475a6e,5,,,1
a98c5ebd-39c7-449b-8304-2da02a3860ad,17927e9e-0e60-4170-b388-3501ad278111,5,,,1
634c9313-9316-4de1-8b50-527197fa3cb8,470ad5ed-ab29-4cac-b2ce-58139f68c3ca,5,,,1
738d1cf0-4ec1-4002-8ccb-39379969eebb,f3751b7e-23dd-4d8a-87d0-92b4fb51817b,5,,,1
1d5d6c43-88f7-4b41-8c6b-e2e6f717313a,fa9fadf6-791b-4779-8de1-5dcfd552d18f,5,,,1
501a0727-4141-4aa6-992c-77193e7ab8ff,630f7cfc-d49b-4237-a19f-68e654512e1d,5,,,1
a912f566-dae8-46dd-8477-759d824e7eb0,619f1260-389b-4b3e-8f7f-24521b2c6e85,5,,,1
8ac2c589-7f8e-4a18-98d1-ed2e7dbc9804,630f7cfc-d49b-4237-a19f-68e654512e1d,5,,,1
365b0f83-e84f-43ab-a985-8a76adbf0094,2012428d-e5bd-4467-ba37-aa78739abd96,5,,,1
8ed91ab3-df28-4f85-ad42-7b35b2d86226,2012428d-e5bd-4467-ba37-aa78739abd96,5,,,1
03ea1778-5ea3-4b4f-9b94-6855a384b906,2012428d-e5bd-4467-ba37-aa78739abd96,5,,,1
a41862ac-82a3-4719-b432-bf90bf19a592,2012428d-e5bd-4467-ba37-aa78739abd96,5,,,1
6c29b48d-a3eb-4395-99eb-48b8c68f7ef7,2012428d-e5bd-4467-ba37-aa78739abd96,5,,,1
544cf14b-7a36-4b35-988b-adc019f616ea,8010a3a6-4965-4842-9401-0d6b86772e4e,5,,,1
156ed6ac-9264-416c-8377-3581609e57ba,2012428d-e5bd-4467-ba37-aa78739abd96,5,,,1
34da7903-674c-464c-80dc-3757eb652e10,2012428d-e5bd-4467-ba37-aa78739abd96,5,,,1
153878fa-54af-4bfc-9694-03ba39d6f953,1cc3931c-bfde-4db9-bde5-80558f2fb22c,5,,,1
2718f167-f488-4e72-985a-0f3b0cdcf155,f9ff4d02-430b-4f04-a3c1-4f75c4fa77c0,5,,,1
c9065566-b81f-4f92-bca7-96666e424aeb,2a6a2a9d-20cd-4791-ae72-ac9f22128ac0,5,,,1
22f5eca9-2918-4b03-ab0b-444c98e1378b,2012428d-e5bd-4467-ba37-aa78739abd96,5,,,1
949ac5d1-2ecb-4d0c-9453-f4a85e66c91f,619f1260-389b-4b3e-8f7f-24521b2c6e85,5,,,1
e800e865-4f70-469c-a9c8-668fb2ba3f41,17927e9e-0e60-4170-b388-3501ad278111,5,,,1
183697c6-14ad-4db4-a84e-11ddaf0ea114,8010a3a6-4965-4842-9401-0d6b86772e4e,5,,,1
87add0d1-7b93-44e9-941b-800dbd1612f9,470ad5ed-ab29-4cac-b2ce-58139f68c3ca,5,,,1
6d8aa349-a2ef-47dd-8771-712f9d476a9f,619f1260-389b-4b3e-8f7f-24521b2c6e85,5,,,1
2580a263-586a-46df-823c-d2000c0be036,8010a3a6-4965-4842-9401-0d6b86772e4e,5,,,1
0e248f12-4e2f-4086-8b87-7b5dcb45c6aa,dd5b6f84-21f8-4350-a2f1-a1a013509dea,5,,,1
66ffbc22-1a4a-4e8d-91a0-4615915d7371,dd5b6f84-21f8-4350-a2f1-a1a013509dea,5,,,1
714f63a7-5f55-41bf-af7f-7ee05b0da23c,674d1770-52ae-410d-9e28-a829aa475a6e,5,,,1
03022e59-d3a1-42f6-8be5-447e5ac4b063,dd5b6f84-21f8-4350-a2f1-a1a013509dea,5,,,1
c635181f-9b1c-47f9-a087-64b3845903dd,2a6a2a9d-20cd-4791-ae72-ac9f22128ac0,5,,,1
